No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year, Total Acquisition value,Category,Disposal date,Year Of Disposal,Amount Deduction
118,"Meja preparation (polos tanpa bowl)+backspash #2 , size 550x600x900mm - CPF1",300415,CPF,,96,4,1-Nov-15,2015,6105000,Equipment,30-Jun-18,2018,6105000
119,"Meja preparation (polos tanpa bowl)+backspash #3 , size 550x600x900mm -+ (caok)  CPF1",300416,CPF,,48,4,1-Nov-15,2015,6558750,Equipment,30-Jun-18,2018,6558750
120,Trolly 2 tingkat + roda 4 uk 900x600x900mm -CPF1,300417,CPF,,48,4,1-Nov-15,2015,5417500,Equipment,30-Jun-18,2018,5417500
121,CL-2000T Economical Compact Scales Capacity 200grx1grPan size 12cm Made in Ohaus - CPF,300421,CPF,,48,4,1-Dec-15,2015,1950000,Equipment,30-Jun-18,2018,1950000
122,Dust Bin 4 wheel green 660L (kode : KW1801043) #2 - CPF1,300436,9CPF,,48,4,1-Dec-15,2015,3299000,Equipment,30-Jun-18,2018,3299000
123,Finger Print Solution X302-S #1 - CPF1,300439,CPF,,48,4,1-Feb-16,2016,3410000,Equipment,30-Jun-18,2018,3410000
124,Finger Print Solution X302-S #2 - CPF1,300440,CPF,,48,4,1-Feb-16,2016,3190000,Equipment,30-Jun-18,2018,3190000
125,Finger Print Solution X302-S #3 - CPF1,300441,CPF,,48,4,1-Feb-16,2016,3190000,Equipment,30-Jun-18,2018,3190000
126,Magnetic Door 3 set - CPF1,300442,CPF,,48,4,1-Feb-16,2016,3300000,Equipment,30-Jun-18,2018,3300000
127,"Vitamix Bar Blender Interlock Capacity 5,6 Ltr , Model :VM00146.10185 (314x483x473mm) #1 - CPF1",300443,CPF,,48,4,1-Apr-16,2016,46090000,Equipment,30-Jun-18,2018,46090000
128,"Vitamix Bar Blender Interlock Capacity 5,6 Ltr , Model :VM00146.10185 (314x483x473mm) #2 - CPF1",300444,CPF,,48,4,1-Apr-16,2016,46090000,Equipment,30-Jun-18,2018,46090000
129,"Vitamix Bar Blender Interlock Capacity 5,6 Ltr , Model :VM00146.10185 (314x483x473mm) #3 - CPF1",300445,CPF,,48,4,1-Apr-16,2016,46090000,Equipment,30-Jun-18,2018,46090000
130,Jar Vitamix XL #1 - CPF1,300446,CPF,,48,4,1-Apr-16,2016,5797000,Equipment,30-Jun-18,2018,5797000
131,Jar Vitamix XL #2 - CPF1,300447,CPF,,48,4,1-Apr-16,2016,5797000,Equipment,30-Jun-18,2018,5797000
132,"Exhaust fan 220 v, 120x120x38 mm #1 - CPF1",300451,CPF,,96,8,1-Jan-16,2016,197000,Equipment,30-Jun-18,2018,197000
133,"Exhaust fan 220 v, 120x120x38 mm #2 - CPF1",300452,CPF,,96,8,1-Jan-16,2016,197000,Equipment,30-Jun-18,2018,197000
134,"Exhaust fan 220 v, 120x120x38 mm #3 - CPF1",300453,CPF,,96,8,1-Jan-16,2016,197000,Equipment,30-Jun-18,2018,197000
135,"Exhaust fan 220 v, 120x120x38 mm #4 - CPF1",300454,CPF,,96,8,1-Jan-16,2016,197000,Equipment,30-Jun-18,2018,197000
136,Chest Freezer AB900 T x dimensi : 193x82x88cm - CPF1,300455,CPF,,96,8,1-Dec-15,2015,8876560,Equipment,30-Jun-18,2018,8876560
137,AC 1 PK Panasonic Type Standard - CPF1,300457,CPF,,96,8,1-Feb-16,2016,3500000,Equipment,30-Jun-18,2018,3500000
138,SCAFFOLD STEEL 4-LAYER HB4925-4 (212068) - CPF,300458,CPF,,96,8,1-Jan-16,2016,8899000,Equipment,30-Jun-18,2018,8899000
139,HIGH PRESSURE CLEANER 100BAR 1300WATT (KW1800723) - CPF,300459,CPF,,96,8,1-Jan-16,2016,1069000,Equipment,30-Jun-18,2018,1069000
140,Printer HP type Laserjet P1102 - CPF,300460,9CPF,,48,4,1-Jan-16,2016,1089000,Equipment,30-Jun-18,2018,1089000
141,Air Curtain Panasonic 90 FY ESN #1 - CPF,300461,9CPF,,96,8,1-Apr-16,2016,9262500,Equipment,30-Jun-18,2018,9262500
142,Air Curtain Panasonic 90 FY ESN #2 - CPF,300463,9CPF,,96,8,1-Apr-16,2016,9262500,Equipment,30-Jun-18,2018,9262500
143,Chiller Cabinet MGUR-120 size :1200x740x1955 955 mm #1 - CPF,300464,CPF,,48,4,1-Mar-16,2016,21361725,Equipment,30-Jun-18,2018,21361725
144,Chiller Cabinet MGUR-120 size :1200x740x1955 955 mm #2 - CPF,300465,CPF,,48,4,1-Mar-16,2016,21361725,Equipment,30-Jun-18,2018,21361725
145,"Rak Gudang Medium Duty RR 36( 200 x 60 x 200 cm, 4 Level ) #1 - CPF",300467,CPF,,96,8,1-Apr-16,2016,2751230,Equipment,30-Jun-18,2018,2751230
146,"Rak Gudang Medium Duty RR 36( 200 x 60 x 200 cm, 4 Level ) #2 - CPF",300468,CPF,,96,8,1-Apr-16,2016,2751230,Equipment,30-Jun-18,2018,2751230
147,"Rak Gudang Medium Duty AZ 250 ( 100 x 60 x 200 cm, 4 Level ) - CPF1",300469,CPF,,96,8,1-Apr-16,2016,1897400,Equipment,30-Jun-18,2018,1897400
148,Air Curtain Panasonic 90 FY ESN #3 - CPF,300474,9CPF,,48,4,1-Apr-16,2016,9262500,Equipment,30-Jun-18,2018,9262500
149,Air Curtain Panasonic 120 FY ESN #1 - CPF,300475,9CPF,,48,4,1-Apr-16,2016,12187500,Equipment,30-Jun-18,2018,12187500
150,"Sonic Type SGW-BS 7000SS 30x40 cm, Waterproof (Taiwan) #1 - CPF",300502,9CPF,,32,2.666666667,1-Mar-16,2016,8047500,Equipment,30-Jun-18,2018,8047500
151,"Sonic Type SGW-BS 7000SS 30x40 cm, Waterproof (Taiwan) #2 - CPF",300503,9CPF,,32,2.666666667,1-Mar-16,2016,8047500,Equipment,30-Jun-18,2018,8047500
152,Sonic Type 3S Waterproof (Taiwan)- CPF,300504,9CPF,,32,2.666666667,1-Mar-16,2016,3567500,Equipment,30-Jun-18,2018,3567500
153,Sonic Precision Balance SS A-2000 - CPF,300505,9CPF,,32,2.666666667,1-Mar-16,2016,3087500,Equipment,30-Jun-18,2018,3087500
154,Water Boiler SS HJ-100D 272215 - CPF,300506,9CPF,,48,4,1-Apr-16,2016,849000,Equipment,30-Jun-18,2018,849000
155,TV LED 49 inchi merk PANASONIC type 49C305 - CPF,300510,CPF,,48,4,1-May-16,2016,7199999.99,Equipment,30-Jun-18,2018,7199999.99
156,HIGH PRESSURE CLEANER 100BAR 1300WATT (KW1800723) 2 - CPF,300511,CPF,,48,4,1-Jun-16,2016,1119000.3,Equipment,30-Jun-18,2018,1119000.3
157,Aruba Access Point 103 #1 - CPF,300525,CPF,,48,4,1-Jun-16,2016,5259969,Equipment,30-Jun-18,2018,5259969
158,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #1 - HO Sequis",300541,9HOC,,48,4,1-Jun-16,2016,7572600,Equipment,19-Jul-19,2019,7572600
159,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #2 - HO Sequis",300542,9HOC,,48,4,1-Jun-16,2016,7572600,Equipment,19-Jul-19,2019,7572600
160,Acer Liquid Z330 - GCT (pup),300614,GCT2,,48,4,1-Aug-16,2016,1049000.04,Equipment,14-Mar-18,2018,1049000.04
161,Acer Liquid Z330 - SQS,300615,SQS1,,48,4,1-Aug-16,2016,1049000.04,Equipment,31-Dec-19,2019,1049000.04
162,Acer Liquid Z330 - MKG,300616,MKG1,,48,4,1-Aug-16,2016,1049000.04,Equipment,31-Dec-19,2019,1049000.04
163,Acer Liquid Z330 - PLI,300617,PLI1,,48,4,1-Aug-16,2016,1049000.04,Equipment,31-Dec-19,2019,1049000.04
164,Acer Liquid Z330 - OBP,300618,OBP1,,48,4,1-Aug-16,2016,1049000.04,Equipment,31-Dec-19,2019,1049000.04
165,Acer Liquid Z330 - BSQ,300619,BSQ1,,48,4,1-Aug-16,2016,1049000.04,Equipment,31-Dec-19,2019,1049000.04
166,LS (LG) Inverter Type : SV022iG5A-2 2.2 Kw-3 HP-3 Phase 220V - CPF,300642,9CPF,,48,4,1-Sep-16,2016,4620000,Equipment,30-Jun-18,2018,4620000
167,HP Acer Liquid Z330 - Skyline,300643,MAG1,,48,4,1-Sep-16,2016,1049000,Equipment,31-Dec-19,2019,1049000
168,HP Acer Liquid Z330 - Soho Central Park,300644,SOH1,,48,4,1-Sep-16,2016,1049000,Equipment,31-Dec-19,2019,1049000
169,"Wet & Dry Vacuum Cleaners, NT 70/2 - CPF",300645,9CPF,,48,4,1-Sep-16,2016,10118900,Equipment,30-Jun-18,2018,10118900
170,"Cold Water High Pressure Cleaners, CompactClass, HD 5/12 C - CPF",300647,9CPF,,48,4,1-Sep-16,2016,9348900,Equipment,30-Jun-18,2018,9348900
171,RAK 2 PINTU 120 X 80 CM - CPF,300648,9CPF,,48,4,1-Sep-16,2016,1700000,Equipment,30-Jun-18,2018,1700000
172,DC Inventer Welder type PORTO / PD-200TIG - CPF,300636,CPF,,48,4,1-Aug-16,2016,4455000,Equipment,30-Jun-18,2018,4455000
173,Acer Liquid Z330 - CGK1,300680,CGK1,,48,4,1-Oct-16,2016,1048999.6,Equipment,31-Dec-19,2019,1048999.6
174,Acer Liquid Z330 - EPI1,300681,EPI1,,48,4,1-Oct-16,2016,1048999.6,Equipment,31-Dec-19,2019,1048999.6
175,Fingerprint Magic M100 - CPF,300706,9CPF,,48,4,1-Dec-16,2016,2900000,Equipment,30-Jun-18,2018,2900000
176,"Beer Cooler ""EXPO-1050BC"" 1210x680x2180 - 9MKT",300735,PRI1,,48,4,30-Jan-17,2017,20625000,Equipment,31-Dec-19,2019,20625000
177,HP Acer Liquid Z330 - CPI1,300762,9IST,,48,4,9-Mar-17,2017,1049000,Equipment,31-Dec-19,2019,1049000
