No.,Nama Aktiva Tetap,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Kategori
575,JX954A - AP Aruba IAP-207 & GIIP Bitung - 9CPF,300266,9CPF,1,48,4,30-Sep-19,2019," 2,677,000 ",Equipment
576,JX954A - AP Aruba IAP-207 & GIIP Bitung - 9CPF,300267,9CPF,1,48,4,30-Sep-19,2019," 2,677,000 ",Equipment
577,"Vitamix VM-146 Bar Blender Interlock Cap. 5,6Ltr - 9CPF",300321,9CPF,1,48,4,10-Sep-19,2019," 41,900,000 ",Equipment
578,"Vitamix VM-146 Bar Blender Interlock Cap. 5,6Ltr - 9CPF",300322,9CPF,1,48,4,10-Sep-19,2019," 41,900,000 ",Equipment
579,XL Motor Kit 220V - 9CPF,300334,9CPF,1,48,4,19-Sep-19,2019," 9,344,000 ",Equipment
580,XL Motor Kit 220V - 9CPF,300335,9CPF,1,48,4,19-Sep-19,2019," 9,344,000 ",Equipment
581,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300351,9CPF,,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
582,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300352,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
583,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300353,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
584,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300354,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
585,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300355,9CPF,,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
586,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300356,9CPF,,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
587,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300357,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
588,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300358,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
589,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300359,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
590,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300360,9CPF,,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
591,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300361,9CPF,,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
592,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300362,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
593,IP IR Dome Camera (WID320) - CCTV Camera untuk CPF Lt 2 - 9CPF,300363,9CPF,1,48,4,17-Sep-19,2019," 2,100,000 ",Equipment
