,,,,,,,,,,,,,
No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Category,Disposal date,Year Of Disposal,Amount Deduction
1285,Barcode Scanner Datalogic QD2430 - SQR1,301379,SQR1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1286,Barcode Scanner Datalogic QD2430 - STB1,301380,STB1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1287,Barcode Scanner Datalogic QD2430 - LCB1,301381,CTS1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1288,Barcode Scanner Datalogic QD2430 - BSQ1,301382,BSQ1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1289,Barcode Scanner Datalogic QD2430 - TPL1,301383,TPL1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1290,Barcode Scanner Datalogic QD2430 - CPW1,301384,9IST,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1291,Barcode Scanner Datalogic QD2430 - ECS1,301385,ECS1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1292,Barcode Scanner Datalogic QD2430 - PKW1,301386,PKW1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1293,Barcode Scanner Datalogic QD2430 - SMY1,301387,SMY1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1294,Barcode Scanner Datalogic QD2430 - LTO1,301388,LTO1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1295,Barcode Scanner Datalogic QD2430 - CSD1,301389,HXC1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1296,Barcode Scanner Datalogic QD2430 - STR1,301390,STR1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1297,Barcode Scanner Datalogic QD2430 - 9EAO,301391,9EAO,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1298,Barcode Scanner Datalogic QD2430 - ALS1,301393,ALS1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1299,Barcode Scanner Datalogic QD2430 - MAG1,301394,MAG1,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1300,Barcode Scanner Datalogic QD2430 - KKS2,301395,KKS2,,48,4,Aug-19,2019," 1,590,000 ",Equipment,,, -   
1301,"MRA Square Cake Showcase ""CSK 120"" 1200x700x1250 - MAX1",301397,MAX1,,48,4,Aug-19,2019," 23,181,818 ",Equipment,,, -   
1302,"MRA Square Cake Showcase ""CSK 150"" 1500x700x1250 - STR1",301398,STR1,,48,4,Aug-19,2019," 25,454,545 ",Equipment,,, -   
1303,"MRA Undercounter Chiller ""UCC 1500 P2"" 1500x750x850 - STR1",301399,STR1,,48,4,Aug-19,2019," 13,353,182 ",Equipment,,, -   
1304,"GEA Upright Glass Door Freezer LSD-86 (60x53x84,5) - STR1",301400,STR1,,48,4,Aug-19,2019," 6,022,500 ",Equipment,,, -   
1305,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - STR1",301401,STR1,,48,4,Aug-19,2019," 2,300,000 ",Equipment,,, -   
1306,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-STR1,301402,STR1,,48,4,Aug-19,2019," 21,060,000 ",Equipment,,, -   
1307,Cash Drawer (Black) Additional - STR1,301403,STR1,,48,4,Aug-19,2019," 821,275 ",Equipment,,, -   
1308,391 Customer Display - STR1,301404,STR1,,48,4,Aug-19,2019," 1,140,750 ",Equipment,,, -   
1309,NB ASUS ROG FX505GE-I5T61T + RAM Sodimm 16GB DDR4 - 9MKT,301412,9MKT,,48,4,Aug-19,2019," 12,800,000 ",Equipment,,, -   
1310,NB ASUS ROG FX505GE-I5T61T + RAM Sodimm 16GB DDR4 - 9MKT,301413,9MKT,,48,4,Aug-19,2019," 12,800,000 ",Equipment,,, -   
1311,Compressor Danfos SC 21 CL R404 1 phase 220v (sub 300167) - PPC1,301416,PPC1,,48,4,Aug-19,2019," 2,954,546 ",Equipment,,, -   
1312,Compressor Danfos SC 21 CL R404 1 phase 220v (sub 300180) - PXV1,301417,9OPS,,48,4,Aug-19,2019," 2,954,546 ",Equipment,,, -   
1313,"GEA Rectangular Cake Showcase ""MM750V"" 1500x680x1350 - BAY1",301419,PIM4,,48,4,Sep-19,2019," 27,750,000 ",Equipment,,, -   
1314,"GEA Rectangular Cake Showcase ""MM740V"" 1200x680x1200 - BAY1",301420,PIM4,,48,4,Sep-19,2019," 24,000,000 ",Equipment,,, -   
1315,"GEA Upright Glass Door Freezer LSD-86 (60x53x84,5) - BAY1",301421,PIM4,,48,4,Sep-19,2019," 6,022,500 ",Equipment,,, -   
1316,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-BAY1,301423,PIM4,,48,4,Sep-19,2019," 21,060,000 ",Equipment,,, -   
1317,Cash Drawer (Black) Additional - BAY1,301424,PIM4,,48,4,Sep-19,2019," 821,275 ",Equipment,,, -   
1318,391 Customer Display - BAY1,301425,PIM4,,48,4,Sep-19,2019," 1,140,750 ",Equipment,,, -   
1319,POS3222 10.1 Inch Integrated POS (1 set with Printer & Cash Drawer)-9EAO,301427,KLT1,,48,4,Sep-19,2019," 17,783,140 ",Equipment,,, -   
1320,Cash Drawer (Black) Additional - 9EAO,301428,KLT1,,48,4,Sep-19,2019," 862,995 ",Equipment,,, -   
1321,3222 Customer Display - 9EAO,301429,KLT1,,48,4,Sep-19,2019," 1,353,865 ",Equipment,,, -   
1322,NB Acer Aspire A311-31 - MAX1,301431,MAX1,,48,4,Sep-19,2019," 6,425,000 ",Equipment,,, -   
1323,NB Lenovo V130-81HQ00LAID - 9OPS,301432,9OPS,,48,4,Sep-19,2019," 5,050,000 ",Equipment,,, -   
1324,NB Acer Aspire A311-31 - BAY1,301433,PIM4,,48,4,Sep-19,2019," 6,425,000 ",Equipment,,, -   
1325,Router TPLINK TL MR6400 - BAY1,301434,9IST,,48,4,Sep-19,2019," 1,030,000 ",Equipment,,, -   
1326,UPS ICA CE 1200VA - BAY1,301435,PIM4,,48,4,Sep-19,2019," 1,000,000 ",Equipment,,, -   
1327,Samsung Galaxy A10 SM-A105 - BAY1,301453,BAY1,,48,4,Sep-19,2019," 1,454,545 ",Equipment,,, -   
1328,"MRA Square Cake Showcase ""CSK 180"" 1800x700x1250 - BCW1",301405,BCW1,,48,4,Sep-19,2019," 29,090,909 ",Equipment,,, -   
1329,"GEA Upright Glass Door Freezer LSD-86 (60x53x84,5) - BCW1",301407,BCW1,,48,4,Sep-19,2019," 6,022,500 ",Equipment,,, -   
1330,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - BAY1",301422,PIM4,,48,4,Sep-19,2019," 2,300,000 ",Equipment,,, -   
1331,"MRA Square Cake Showcase ""CSK 120"" 1200x700x1250 - BCW1",301426,BCW1,,48,4,Sep-19,2019," 23,181,818 ",Equipment,,, -   
1332,BEKO Microwave type MOB20231BG - 9OPS,301430,9OPS,,48,4,Sep-19,2019," 1,363,637 ",Equipment,,, -   
1333,KRISBOW Serving Trolley Grey - 9PRD,301436,9PRD,,48,4,Sep-19,2019," 1,180,910 ",Equipment,,, -   
1334,"MRA Square Cake Showcase ""CSK 150"" 1500x700x1250 - PEN1",301437,9OPS,,48,4,Sep-19,2019," 28,000,000 ",Equipment,,, -   
1335,"GEA Upright Glass Door Freezer LSD-86 (60x53x84,5) - PEN1",301438,9OPS,,48,4,Sep-19,2019," 6,022,500 ",Equipment,,, -   
1336,"MRA Undercounter Chiller ""UCC 1500 P2"" 1500x750x850 - PEN1",301443,9OPS,,48,4,Sep-19,2019," 14,688,500 ",Equipment,,, -   
1337,"GEA Upright Glass Door Freezer LSD-86 (60x53x84,5) - SLM1",301446,9OPS,,48,4,Sep-19,2019," 6,022,500 ",Equipment,,, -   
1338,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-SLM1,301448,9IST,,48,4,Sep-19,2019," 21,060,000 ",Equipment,,, -   
1339,Cash Drawer (Black) Additional - SLM1,301449,9IST,,48,4,Sep-19,2019," 821,275 ",Equipment,,, -   
1340,391 Customer Display - SLM1,301450,9IST,,48,4,Sep-19,2019," 1,140,750 ",Equipment,,, -   
1341,Surveillance Hardisk DVR 2TB + Adaptor - LOW1,301451,LOW1,,48,4,Sep-19,2019," 1,500,000 ",Equipment,,, -   
1342,Barcode Scanner Datalogic QD2430 - BAY1,301452,PIM4,,48,4,Sep-19,2019," 1,590,000 ",Equipment,,, -   
1343,Barcode Scanner Datalogic QD2430 - KLT1,301454,KLT1,,48,4,Sep-19,2019," 1,590,000 ",Equipment,,, -   
1344,Samsung Galaxy A10 SM-A105 - BCW1,301455,BCW1,,48,4,Sep-19,2019," 1,472,727 ",Equipment,,, -   
1345,Samsung Galaxy A10 SM-A105 - PEN1,301456,9IST,,48,4,Sep-19,2019," 1,472,727 ",Equipment,,, -   
1346,Samsung Galaxy A10 SM-A105 - SLM1,301457,9IST,,48,4,Sep-19,2019," 1,472,727 ",Equipment,,, -   
1347,Samsung Galaxy A10 SM-A105 - SLM2,301458,SLM2,,48,4,Sep-19,2019," 1,472,727 ",Equipment,,, -   
1348,Barcode Scanner Datalogic QD2430 - BCW1,301459,BCW1,,48,4,Sep-19,2019," 1,590,000 ",Equipment,,, -   
1349,Barcode Scanner Datalogic QD2430 - PEN1,301460,9IST,,48,4,Sep-19,2019," 1,590,000 ",Equipment,,, -   
1350,Barcode Scanner Datalogic QD2430 - SLM1,301461,9IST,,48,4,Sep-19,2019," 1,590,000 ",Equipment,,, -   
1351,Barcode Scanner Datalogic QD2430 - SLM2,301462,SLM2,,48,4,Sep-19,2019," 1,590,000 ",Equipment,,, -   
1352,NB Acer Aspire A311-31 - BCW1,301463,BCW1,,48,4,Sep-19,2019," 6,425,000 ",Equipment,,, -   
1353,NB Acer Aspire A311-31 - PEN1,301464,RYP1,,48,4,Sep-19,2019," 6,425,000 ",Equipment,,, -   
1354,NB Acer Aspire A311-31 - SLM1,301465,9IST,,48,4,Sep-19,2019," 6,425,000 ",Equipment,,, -   
1355,NB Acer Aspire A311-31 - SLM2,301466,SLM2,,48,4,Sep-19,2019," 6,425,000 ",Equipment,,, -   
1356,Router TPLINK TL MR6400 - BCW1,301467,BCW1,,48,4,Sep-19,2019," 1,030,000 ",Equipment,,, -   
1357,Router TPLINK TL MR6400 - PEN1,301468,9IST,,48,4,Sep-19,2019," 1,030,000 ",Equipment,,, -   
1358,Router TPLINK TL MR6400 - SLM1,301469,9IST,,48,4,Sep-19,2019," 1,030,000 ",Equipment,,, -   
1359,Router TPLINK TL MR6400 - SLM2,301470,SLM2,,48,4,Sep-19,2019," 1,030,000 ",Equipment,,, -   
1360,UPS ICA CE 1200VA - BCW1,301471,BCW1,,48,4,Sep-19,2019," 1,000,000 ",Equipment,,, -   
1361,UPS ICA CE 1200VA - PEN1,301472,9IST,,48,4,Sep-19,2019," 1,000,000 ",Equipment,,, -   
1362,UPS ICA CE 1200VA - SLM1,301473,9IST,,48,4,Sep-19,2019," 1,000,000 ",Equipment,,, -   
1363,UPS ICA CE 1200VA - SLM2,301474,SLM2,,48,4,Sep-19,2019," 1,000,000 ",Equipment,,, -   
1364,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301475,TCB1,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1365,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301476,TCB1,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1366,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301477,STR1,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1367,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301478,9OPS,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1368,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301479,MAG2,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1369,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301480,BXC1,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1370,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301481,BCW1,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1371,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301482,BCW1,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1372,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301483,9OPS,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1373,"Thermometer Data Logger ""Tempod"" type 30 - 9OPS",301484,RYP1,,48,4,Sep-19,2019," 2,125,000 ",Equipment,,, -   
1374,HDD CCTV Telview 4TB - DWS1,301485,DWS1,,48,4,Sep-19,2019," 2,000,000 ",Equipment,,, -   
1375,"SAMSUNG TV Digital LED 43"" UA43J5202AKPXD + Bracket - ECS1",301502,ECS1,,48,4,Sep-19,2019," 3,760,818 ",Equipment,,, -   
1376,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - BCW1",301408,BCW1,,48,4,Oct-19,2019," 2,300,000 ",Equipment,,, -   
1377,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-BCW1,301409,BCW1,,48,4,Oct-19,2019," 21,060,000 ",Equipment,,, -   
1378,Cash Drawer (Black) Additional - BCW1,301410,BCW1,,48,4,Oct-19,2019," 821,275 ",Equipment,,, -   
1379,391 Customer Display - BCW1,301411,BCW1,,48,4,Oct-19,2019," 1,140,750 ",Equipment,,, -   
1380,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - PEN1",301439,9IST,,48,4,Oct-19,2019," 2,300,000 ",Equipment,,, -   
1381,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-PEN1,301440,9IST,,48,4,Oct-19,2019," 21,060,000 ",Equipment,,, -   
1382,Cash Drawer (Black) Additional - PEN1,301441,9IST,,48,4,Oct-19,2019," 821,275 ",Equipment,,, -   
1383,391 Customer Display - PEN1,301442,9IST,,48,4,Oct-19,2019," 1,140,750 ",Equipment,,, -   
1384,"MRA Square Cake Showcase ""CSK 150"" 1500x700x1250 - SLM1",301444,9OPS,,48,4,Oct-19,2019," 25,454,545 ",Equipment,,, -   
1385,"MRA Undercounter Chiller ""UCC 1500 P2"" 1500x750x850 - SLM1",301445,9OPS,,48,4,Oct-19,2019," 13,353,182 ",Equipment,,, -   
1386,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - SLM1",301447,9IST,,48,4,Oct-19,2019," 2,300,000 ",Equipment,,, -   
1387,GEA EXPO-90 44x510x831 - 9CHE,301486,9CHE,,48,4,Oct-19,2019," 2,100,000 ",Equipment,,, -   
1388,GEA EXPO-90 44x510x831 - 9CHE,301487,9CHE,,48,4,Oct-19,2019," 2,100,000 ",Equipment,,, -   
1389,GEA EXPO-90 44x510x831 - 9CHE,301488,9CHE,,48,4,Oct-19,2019," 2,100,000 ",Equipment,,, -   
1390,GEA EXPO-90 44x510x831 - 9CHE,301489,9CHE,,48,4,Oct-19,2019," 2,100,000 ",Equipment,,, -   
1391,GEA EXPO-37FC 510x615x1740 - 9CHE,301490,9CHE,,48,4,Oct-19,2019," 3,675,000 ",Equipment,,, -   
1392,GEA EXPO-37FC 510x615x1740 - 9CHE,301491,9CHE,,48,4,Oct-19,2019," 3,675,000 ",Equipment,,, -   
1393,GEA EXPO-416P 660x680x2135 - 9CHE,301492,9CHE,,48,4,Oct-19,2019," 6,675,000 ",Equipment,,, -   
1394,GEA EXPO-416P 660x680x2135 - 9CHE,301493,9CHE,,48,4,Oct-19,2019," 6,675,000 ",Equipment,,, -   
1395,Surveillance Hardisk DVR 2TB + Adaptor - WTC1,301494,WTC1,,48,4,Oct-19,2019," 1,950,000 ",Equipment,,, -   
1396,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-SLM2,301498,SLM2,,48,4,Oct-19,2019," 21,060,000 ",Equipment,,, -   
1397,Cash Drawer (Black) Additional - SLM2,301499,SLM2,,48,4,Oct-19,2019," 821,275 ",Equipment,,, -   
1398,391 Customer Display - SLM2,301500,SLM2,,48,4,Oct-19,2019," 1,140,750 ",Equipment,,, -   
1399,NB Acer Aspire A311-31 - PPC1,301501,PPC1,,48,4,Oct-19,2019," 6,425,000 ",Equipment,,, -   
1400,Samsung Galaxy A10 SM-A105 - 9HRD,301503,9HRD,,48,4,Oct-19,2019," 1,472,727 ",Equipment,,, -   
1401,HDD CCTV Telview 4TB - 9OPS,301504,9OPS,,48,4,Oct-19,2019," 2,000,000 ",Equipment,,, -   
1402,Compressor HST SC 12 CL (sub FA 300328) - OKW1,301506,OKW1,,48,4,Oct-19,2019," 2,100,000 ",Equipment,,, -   
1403,Samsung Galaxy A10 SM-A105 - SMY2,301507,SMY2,,48,4,Oct-19,2019," 1,472,727 ",Equipment,,, -   
1404,Samsung Galaxy A10 SM-A105 - TSB1,301508,SMB1,,48,4,Oct-19,2019," 1,472,727 ",Equipment,,, -   
1405,NB Acer Aspire A311-31 - SMY2,301523,SMY2,,48,4,Oct-19,2019," 6,425,000 ",Equipment,,, -   
1406,Router TPLINK TL MR6400 - SMY2,301525,SMY2,,48,4,Oct-19,2019," 1,030,000 ",Equipment,,, -   
1407,Router TPLINK TL MR6400 - TSB1,301526,SMB1,,48,4,Oct-19,2019," 1,030,000 ",Equipment,,, -   
1408,UPS ICA CE 1200VA - SMY2,301527,SMY2,,48,4,Oct-19,2019," 1,000,000 ",Equipment,,, -   
1409,UPS ICA CE 1200VA - TSB1,301528,SMB1,,48,4,Oct-19,2019," 1,000,000 ",Equipment,,, -   
1410,Spaceman 6240 Soft Ice Cream Machine Twin Twist Flavor - TPL1,301085,TPL1,,48,4,Nov-19,2019," 48,818,182 ",Equipment,,, -   
1411,"MRA Square Cake Showcase ""CSK 120"" 1200x700x1250 - SLM2",301495,SLM2,,48,4,Nov-19,2019," 23,181,818 ",Equipment,,, -   
1412,"MRA Square Cake Showcase ""CSK 180"" 1800x700x1250 - SMY2",301509,SMY2,,48,4,Nov-19,2019," 29,090,909 ",Equipment,,, -   
1413,"MRA Undercounter Chiller ""UCC 1500 P2"" 1500x750x850 - SMY2",301510,SMY2,,48,4,Nov-19,2019," 13,353,182 ",Equipment,,, -   
1414,Upright Freezer FRESTA FR100-1 (595x575x702 mm) - SMY2,301511,SMY2,,48,4,Nov-19,2019," 5,090,910 ",Equipment,,, -   
1415,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - SMY2",301512,SMY2,,48,4,Nov-19,2019," 2,300,000 ",Equipment,,, -   
1416,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-SMY2,301513,SMY2,,48,4,Nov-19,2019," 21,060,000 ",Equipment,,, -   
1417,Cash Drawer (Black) Additional - SMY2,301514,SMY2,,48,4,Nov-19,2019," 821,275 ",Equipment,,, -   
1418,391 Customer Display - SMY2,301515,SMY2,,48,4,Nov-19,2019," 1,140,750 ",Equipment,,, -   
1419,"MRA Square Cake Showcase ""CSK 150"" 1500x700x1250 - TSB1",301516,SMB1,,48,4,Nov-19,2019," 25,454,545 ",Equipment,,, -   
1420,"MRA Undercounter Chiller ""UCC 1500 P2"" 1500x750x850 - TSB1",301517,RYP1,,48,4,Nov-19,2019," 13,353,182 ",Equipment,,, -   
1421,Upright Freezer FRESTA FR100-1 (595x575x702 mm) - TSB1,301518,9OPS,,48,4,Nov-19,2019," 5,090,910 ",Equipment,,, -   
1422,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - TSB1",301519,SMB1,,48,4,Nov-19,2019," 2,300,000 ",Equipment,,, -   
1423,POS391 10.4 Inch Integrated POS (1 set with Printer & Cash Drawer)-TSB1,301520,SMB1,,48,4,Nov-19,2019," 21,060,000 ",Equipment,,, -   
1424,Cash Drawer (Black) Additional - TSB1,301521,SMB1,,48,4,Nov-19,2019," 821,275 ",Equipment,,, -   
1425,391 Customer Display - TSB1,301522,SMB1,,48,4,Nov-19,2019," 1,140,750 ",Equipment,,, -   
1426,Barcode Scanner Datalogic QD2430 - SMY2,301529,SMY2,,48,4,Nov-19,2019," 1,590,000 ",Equipment,,, -   
1427,Barcode Scanner Datalogic QD2430 - TSB1,301530,SMB1,,48,4,Nov-19,2019," 1,590,000 ",Equipment,,, -   
1428,HDD CCTV Telview 4TB - RTP1,301531,9IST,,48,4,Nov-19,2019," 2,000,000 ",Equipment,,, -   
1429,HDD CCTV Telview 4TB - KKS2,301532,KKS2,,48,4,Nov-19,2019," 2,000,000 ",Equipment,,, -   
1430,"1 set CCTV (1unit Adaptor DVR, 1unit HDD 2TB, 1unit Adaptor Cam. 2A, 1unit Dome Fixed HD Cam) - EPI1",301533,EPI1,,48,4,Nov-19,2019," 2,650,000 ",Equipment,,, -   
1431,"MRA Square Cake Showcase ""CSK 120"" 1200x700x1250 - TPL2",301535,RYP1,,48,4,Nov-19,2019," 23,181,818 ",Equipment,,, -   
1432,FUJIFILM - Camera X-T20 kit - 9MKT,301537,9MKT,,48,4,Nov-19,2019," 11,507,691 ",Equipment,,, -   
1433,FUJIFILM - Lens Fujinon XF 50mm F/2 R WR - 9MKT,301538,9MKT,,48,4,Nov-19,2019," 4,399,581 ",Equipment,,, -   
1434,Upright Freezer FRESTA FR100-1 (595x575x702 mm) - TPL2,301178,RYP1,,48,4,Dec-19,2019," 5,090,909 ",Equipment,,, -   
1435,"1 set CCTV ( 1unit HD DVR 4 ch, 1unit Dome Fixed HD Cam) - OBP1",301179,OBP1,,48,4,Dec-19,2019," 3,125,000 ",Equipment,,, -   
1436,HDD DVR CCTV  4TB - KNC1,301180,KNC1,,48,4,Dec-19,2019," 2,000,000 ",Equipment,,, -   
1437,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - SLM2",301497,SLM2,,48,4,Dec-19,2019," 2,300,000 ",Equipment,,, -   
1438,HDD CCTV Telview 2TB + Adaptor DVR - PPC1,301534,PPC1,,48,4,Dec-19,2019," 1,950,000 ",Equipment,,, -   
1439,"Mesin Absensi (Finger Print) ""Solution"" type : X100C - TPL2",301536,9IST,,48,4,Dec-19,2019," 2,300,000 ",Equipment,,, -   
1440,Lenovo V330 Core I5 - 9FNA,301183,9FNA,,48,4,Dec-19,2019," 9,910,000 ",Equipment,,, -   
1441,Lenovo V330 Core I5 - 9MKT,301184,9MKT,,48,4,Dec-19,2019," 9,910,000 ",Equipment,,, -   
1442,Lenovo V130 Core I3 - 9QAC,301185,9QAC,,48,4,Dec-19,2019," 7,385,000 ",Equipment,,, -   
1443,GEA Planetary Mixer B-8 - 9PRD,301182,9PRD,,48,4,Dec-19,2019," 5,100,000 ",Equipment,,, -   
1444,GEA Chest Freezer 100L AB-106-R (563x562x845 mm) - 9PRD,301181,9CHE,,48,4,Dec-19,2019," 1,987,500 ",Equipment,,, -   
1445,PARTS Spaceman 6240 Soft Ice Cream Machine (sub 300933) - TPL1,301505,TPL1,,48,4,Jan-20,2020," 10,432,000 ",Equipment,,, -   
1446,Upright Freezer FRESTA FR100-1 (595x575x702 mm) - KKS2,301186,KKS2,,48,4,Jan-20,2020," 5,090,909 ",Equipment,,, -   
1447,EPSON Printer L3110 - 9CHE,301187,9CHE,,48,4,Jan-20,2020," 1,915,000 ",Equipment,,, -   
1448,Surveillance Hardisk DVR 2TB + Adaptor - KKS1,301540,KKS1,,48,4,Jan-20,2020," 1,950,000 ",Equipment,,, -   
1449,SAMSUNG Galaxy A10S - TBD1,301547,9IST,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1450,SAMSUNG Galaxy A10S - JIM1,301548,JIM1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1451,SAMSUNG Galaxy A10S - JGC1,301549,JGC1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1452,SAMSUNG Galaxy A10S - CPA1,301550,CPA1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1453,SAMSUNG Galaxy A10S - MAG2,301551,MAG2,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1454,SAMSUNG Galaxy A10S - SOH1,301552,SOH1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1455,SAMSUNG Galaxy A10S - LVW1,301553,LVW1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1456,SAMSUNG Galaxy A10S - BXC1,301554,BXC1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1457,SAMSUNG Galaxy A10S - MTA1,301555,MTA1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1458,SAMSUNG Galaxy A10S - MAX1,301556,MAX1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1459,SAMSUNG Galaxy A10S - KRC1,301557,KRC1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1460,SAMSUNG Galaxy A10S - MOI1,301558,MOI1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1461,SAMSUNG Galaxy A10S - MKG1,301559,MKG1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1462,SAMSUNG Galaxy A10S - OKW1,301560,TMS1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1463,SAMSUNG Galaxy A10S - STR1,301561,STR1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1464,SAMSUNG Galaxy A10S - NIG1,301562,NIG1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1465,SAMSUNG Galaxy A10S - PRI1,301563,PRI1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1466,SAMSUNG Galaxy A10S - HXC1,301564,HXC1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1467,SAMSUNG Galaxy A10S - LMP1,301565,LMP1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1468,SAMSUNG Galaxy A10S - SQS1,301566,SQS1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1469,SAMSUNG Galaxy A10S - GCT1,301567,GCT1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1470,SAMSUNG Galaxy A10S - GCT2,301568,GCT2,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1471,SAMSUNG Galaxy A10S - RSP1,301569,RSP1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1472,SAMSUNG Galaxy A10S - GIN1,301570,GIN1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1473,SAMSUNG Galaxy A10S - CTW1,301571,CTW1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1474,SAMSUNG Galaxy A10S - KKS1,301572,KKS1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1475,SAMSUNG Galaxy A10S - KKS2,301573,KKS2,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1476,SAMSUNG Galaxy A10S - LCB1,301574,WTC1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1477,SAMSUNG Galaxy A10S - TCB,301575,TCB1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1478,SAMSUNG Galaxy A10S - OBP1,301576,OBP1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1479,SAMSUNG Galaxy A10S - SQR1,301577,SQR1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1480,SAMSUNG Galaxy A10S - PIM2,301578,PIM2,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
1481,SAMSUNG Galaxy A10S - WTC1,301579,WTC1,,48,4,Jan-20,2020," 1,513,636 ",Equipment,,, -   
