,,,,,,,,,,,,,
No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Category,Disposal date,Year Of Disposal,Amount Deduction
64,"Meja single sink, size 600x600x900mm - CPF1",300306,CPF,,96,4,Oct-15,2015," 5,362,500 ",Equipment,30-Jun-18,2018," 5,362,500 "
65,"Meja preparation (polos tanpa bowl), size 1200x600x900mm - CPF",300307,CPF,,96,4,Oct-15,2015," 7,260,000 ",Equipment,30-Jun-18,2018," 7,260,000 "
66,"Meja Zink single bowl (ruang juicer), size: 1200x600x900 mm - CPF1",300308,CPF,,96,4,Oct-15,2015," 10,683,750 ",Equipment,30-Jun-18,2018," 10,683,750 "
67,"Meja preparation, size 1850x600x900mm - CPF1",300309,CPF,,96,4,Oct-15,2015," 9,693,750 ",Equipment,30-Jun-18,2018," 9,693,750 "
68,"Meja preparation polos #1, size 1800x600x900mm - CPF",300310,CPF,,96,4,Oct-15,2015," 9,487,500 ",Equipment,30-Jun-18,2018," 9,487,500 "
69,"Meja preparation polos #2, size 1800x600x900mm - CPF",300311,CPF,,96,4,Oct-15,2015," 9,487,500 ",Equipment,30-Jun-18,2018," 9,487,500 "
70,"Meja Zink 3 bowl +prerinse+1 kran, size 2200x600x900mm - CPF",300312,CPF,,96,4,Oct-15,2015," 12,168,750 ",Equipment,30-Jun-18,2018," 12,168,750 "
71,Data logger EBI 300 #1 - CPF,300349,CPF,,48,4,Oct-15,2015," 2,505,800 ",Equipment,30-Jun-18,2018," 2,505,800 "
72,Data logger EBI 300 #2 - CPF,300350,CPF,,48,4,Oct-15,2015," 2,505,800 ",Equipment,30-Jun-18,2018," 2,505,800 "
73,Data logger EBI 300 #3 - CPF,300351,9CPF,,48,4,Oct-15,2015," 2,505,800 ",Equipment,30-Jun-18,2018," 2,505,800 "
74,Filling Cabinet Low White - CPF,300354,CPF,,48,4,Oct-15,2015," 1,234,050 ",Equipment,30-Jun-18,2018," 1,234,050 "
75,Filling Cabinet High White - CPF,300355,CPF,,48,4,Oct-15,2015," 2,279,050 ",Equipment,30-Jun-18,2018," 2,279,050 "
76,Filling Cabinet High White - CPF #2,300356,CPF,,48,4,Oct-15,2015," 2,279,050 ",Equipment,30-Jun-18,2018," 2,279,050 "
77,Infrared Termometer - CPF1,300359,CPF,,24,4,Nov-15,2015," 1,320,000 ",Equipment,30-Jun-18,2018," 1,320,000 "
78,Automatic Tritator + pH Meter - CPF1,300360,CPF,,96,4,Nov-15,2015," 33,000,000 ",Equipment,30-Jun-18,2018," 33,000,000 "
79,Angel 20k #1 - CPF1,300366,CPF,,96,4,Dec-15,2015," 116,201,554 ",Equipment,30-Jun-18,2018," 116,201,554 "
80,Angel 20k #2 - CPF1,300367,CPF,,96,4,Dec-15,2015," 116,201,554 ",Equipment,30-Jun-18,2018," 116,201,554 "
81,AC 1pk Panasonic Type Standart #1 - CPF,300368,CPF,,48,4,Oct-15,2015," 3,500,000 ",Equipment,30-Jun-18,2018," 3,500,000 "
82,AC 1pk Panasonic Type Standart #2 - CPF,300369,CPF,,48,4,Oct-15,2015," 3,500,000 ",Equipment,30-Jun-18,2018," 3,500,000 "
83,AC 1pk Panasonic Type Standart #3 - CPF,300370,CPF,,48,4,Oct-15,2015," 3,500,000 ",Equipment,30-Jun-18,2018," 3,500,000 "
84,AC 1pk Panasonic Type Standart #4 - CPF,300371,CPF,,48,4,Oct-15,2015," 3,500,000 ",Equipment,30-Jun-18,2018," 3,500,000 "
85,"AC 1,5pk Panasonic Type Standart #1 - CPF",300372,CPF,,48,4,Oct-15,2015," 4,700,000 ",Equipment,30-Jun-18,2018," 4,700,000 "
86,"AC 1,5pk Panasonic Type Standart #2 - CPF",300373,CPF,,48,4,Oct-15,2015," 4,700,000 ",Equipment,30-Jun-18,2018," 4,700,000 "
87,"AC 1,5pk Panasonic Type Standart #3 - CPF",300374,CPF,,48,4,Oct-15,2015," 4,700,000 ",Equipment,30-Jun-18,2018," 4,700,000 "
88,AC 2pk Panasonic Type Standart #1 - CPF,300375,CPF,,48,4,Oct-15,2015," 5,950,000 ",Equipment,30-Jun-18,2018," 5,950,000 "
89,AC 2pk Panasonic Type Standart #2 - CPF,300376,CPF,,48,4,Oct-15,2015," 5,950,000 ",Equipment,30-Jun-18,2018," 5,950,000 "
90,AC 2pk Panasonic Type Standart #3 - CPF,300377,CPF,,48,4,Oct-15,2015," 5,950,000 ",Equipment,30-Jun-18,2018," 5,950,000 "
91,AC 2pk Panasonic Type Standart #4 - CPF,300378,CPF,,48,4,Oct-15,2015," 5,950,000 ",Equipment,30-Jun-18,2018," 5,950,000 "
92,Printer HP DJ 1510 - CPF,300379,9CPF,,48,4,Oct-15,2015," 610,500 ",Equipment,30-Jun-18,2018," 610,500 "
93,Panasonic telephone KX TS505MX #1 - CPF,300383,CPF,,24,4,Oct-15,2015," 159,500 ",Equipment,30-Jun-18,2018," 159,500 "
94,Panasonic telephone KX TS505MX #2 - CPF,300384,CPF,,24,4,Oct-15,2015," 159,500 ",Equipment,30-Jun-18,2018," 159,500 "
95,Printer Epson LX310 - CPF1,300385,9CPF,,48,4,Oct-15,2015," 2,090,000 ",Equipment,30-Jun-18,2018," 2,090,000 "
96,"Timbangan digital hybrid type Alexa kap. 150kgx0,05kg - CPF",300388,9CPF,,96,4,Oct-15,2015," 3,570,000 ",Equipment,30-Jun-18,2018," 3,570,000 "
97,"Timbangan digital hybrid type Alexa kap. 60kgx0,02kg #1 - CPF",300389,9CPF,,96,4,Oct-15,2015," 2,197,250 ",Equipment,30-Jun-18,2018," 2,197,250 "
98,"Timbangan digital hybrid type Alexa kap. 60kgx0,02kg #2 - CPF",300390,9CPF,,96,4,Oct-15,2015," 2,197,250 ",Equipment,30-Jun-18,2018," 2,197,250 "
99,Dust Bin 4 wheel green 660L (kode : KW1801043) #1 - CPF1,300391,9CPF,,48,4,Dec-15,2015," 3,299,000 ",Equipment,30-Jun-18,2018," 3,299,000 "
100,Storage Industrial 4 Shelf 196x61x183 GRY (10009890) - CPF1,300392,CPF,,96,4,Nov-15,2015," 2,699,000 ",Equipment,30-Jun-18,2018," 2,699,000 "
101,"Trolley stainlesstanpa laci, uk : 60x43x80cm - CPF1",300393,CPF,,96,4,Nov-15,2015," 5,600,000 ",Equipment,30-Jun-18,2018," 5,600,000 "
102,"Trolley cabinet with swing door, uk : 100cmx70cm - CPF1",300394,CPF,,96,4,Nov-15,2015," 8,800,000 ",Equipment,30-Jun-18,2018," 8,800,000 "
103,Dispenser Sharp SWD 72 EHL -BK-CPF1,300395,CPF,,96,4,Nov-15,2015," 2,500,000 ",Equipment,30-Jun-18,2018," 2,500,000 "
104,"Timbangan digital Hybrid Tpe Alexa kap. 150kg x 0,05 kg #2 - CPF1",300396,9CPF,,96,4,Nov-15,2015," 3,570,000 ",Equipment,30-Jun-18,2018," 3,570,000 "
105,Dust Bin 120 ltr with pedal Green (KW1801271) #1 - CPF1,300397,9CPF,,48,4,Dec-15,2015," 810,000 ",Equipment,30-Jun-18,2018," 810,000 "
106,Dust Bin 120 ltr with pedal Green (KW1801271) #2 - CPF1,300398,9CPF,,48,4,Dec-15,2015," 810,000 ",Equipment,30-Jun-18,2018," 810,000 "
107,Dust Bin 120 ltr with pedal Green (KW1801271) #3 - CPF1,300399,9CPF,,48,4,Dec-15,2015," 810,000 ",Equipment,30-Jun-18,2018," 810,000 "
108,Dust Bin 120 ltr with pedal Green (KW1801271) #4 - CPF1,300400,9CPF,,48,4,Dec-15,2015," 810,000 ",Equipment,30-Jun-18,2018," 810,000 "
109,Magna.Plate 44-2 35 LB./Pail - CPF1,300401,CPF,,12,4,Nov-15,2015," 7,348,000 ",Equipment,30-Jun-18,2018," 7,348,000 "
110,Magna.Plate 60 5 Gal.I Pail - CPF1,300402,CPF,,12,4,Nov-15,2015," 3,286,800 ",Equipment,30-Jun-18,2018," 3,286,800 "
111,White board gantung uk 120x180cm #1 - CPF1,300408,9CPF,,96,4,Nov-15,2015," 607,500 ",Equipment,30-Jun-18,2018," 607,500 "
112,White board gantung uk 120x180cm #2 - CPF1,300409,9CPF,,96,4,Nov-15,2015," 607,500 ",Equipment,30-Jun-18,2018," 607,500 "
113,AC 1 PK Panasonic Type Standard #5 - CPF1,300410,CPF,,96,4,Nov-15,2015," 3,700,000 ",Equipment,30-Jun-18,2018," 3,700,000 "
114,AC 1 PK Panasonic Type Standard #6 - CPF1,300411,CPF,,96,4,Nov-15,2015," 3,700,000 ",Equipment,30-Jun-18,2018," 3,700,000 "
115,Digital Chlorine Tester AMT06 - CPF1,300412,CPF,,48,4,Dec-15,2015," 4,800,000 ",Equipment,30-Jun-18,2018," 4,800,000 "
116,"Meja Zink Bowl + Prerinse + 1 kran, size 1600x600x900 mm - CPF1",300413,CPF,,96,4,Nov-15,2015," 12,168,750 ",Equipment,30-Jun-18,2018," 12,168,750 "
117,"Meja preparation (polos tanpa bowl)+backspash #1 , size 2038x600x900mm - CPF1",300414,CPF,,96,4,Nov-15,2015," 10,312,500 ",Equipment,30-Jun-18,2018," 10,312,500 "
118,"Meja preparation (polos tanpa bowl)+backspash #2 , size 550x600x900mm - CPF1",300415,CPF,,96,4,Nov-15,2015," 6,105,000 ",Equipment,30-Jun-18,2018," 6,105,000 "
119,"Meja preparation (polos tanpa bowl)+backspash #3 , size 550x600x900mm -+ (caok)  CPF1",300416,CPF,,48,4,Nov-15,2015," 6,558,750 ",Equipment,30-Jun-18,2018," 6,558,750 "
120,Trolly 2 tingkat + roda 4 uk 900x600x900mm -CPF1,300417,CPF,,48,4,Nov-15,2015," 5,417,500 ",Equipment,30-Jun-18,2018," 5,417,500 "
121,CL-2000T Economical Compact Scales Capacity 200grx1grPan size 12cm Made in Ohaus - CPF,300421,CPF,,48,4,Dec-15,2015," 1,950,000 ",Equipment,30-Jun-18,2018," 1,950,000 "
122,Dust Bin 4 wheel green 660L (kode : KW1801043) #2 - CPF1,300436,9CPF,,48,4,Dec-15,2015," 3,299,000 ",Equipment,30-Jun-18,2018," 3,299,000 "
123,Finger Print Solution X302-S #1 - CPF1,300439,CPF,,48,4,Feb-16,2016," 3,410,000 ",Equipment,30-Jun-18,2018," 3,410,000 "
124,Finger Print Solution X302-S #2 - CPF1,300440,CPF,,48,4,Feb-16,2016," 3,190,000 ",Equipment,30-Jun-18,2018," 3,190,000 "
125,Finger Print Solution X302-S #3 - CPF1,300441,CPF,,48,4,Feb-16,2016," 3,190,000 ",Equipment,30-Jun-18,2018," 3,190,000 "
126,Magnetic Door 3 set - CPF1,300442,CPF,,48,4,Feb-16,2016," 3,300,000 ",Equipment,30-Jun-18,2018," 3,300,000 "
127,"Vitamix Bar Blender Interlock Capacity 5,6 Ltr , Model :VM00146.10185 (314x483x473mm) #1 - CPF1",300443,CPF,,48,4,Apr-16,2016," 46,090,000 ",Equipment,30-Jun-18,2018," 46,090,000 "
128,"Vitamix Bar Blender Interlock Capacity 5,6 Ltr , Model :VM00146.10185 (314x483x473mm) #2 - CPF1",300444,CPF,,48,4,Apr-16,2016," 46,090,000 ",Equipment,30-Jun-18,2018," 46,090,000 "
129,"Vitamix Bar Blender Interlock Capacity 5,6 Ltr , Model :VM00146.10185 (314x483x473mm) #3 - CPF1",300445,CPF,,48,4,Apr-16,2016," 46,090,000 ",Equipment,30-Jun-18,2018," 46,090,000 "
130,Jar Vitamix XL #1 - CPF1,300446,CPF,,48,4,Apr-16,2016," 5,797,000 ",Equipment,30-Jun-18,2018," 5,797,000 "
131,Jar Vitamix XL #2 - CPF1,300447,CPF,,48,4,Apr-16,2016," 5,797,000 ",Equipment,30-Jun-18,2018," 5,797,000 "
132,"Exhaust fan 220 v, 120x120x38 mm #1 - CPF1",300451,CPF,,96,8,Jan-16,2016," 197,000 ",Equipment,30-Jun-18,2018," 197,000 "
133,"Exhaust fan 220 v, 120x120x38 mm #2 - CPF1",300452,CPF,,96,8,Jan-16,2016," 197,000 ",Equipment,30-Jun-18,2018," 197,000 "
134,"Exhaust fan 220 v, 120x120x38 mm #3 - CPF1",300453,CPF,,96,8,Jan-16,2016," 197,000 ",Equipment,30-Jun-18,2018," 197,000 "
135,"Exhaust fan 220 v, 120x120x38 mm #4 - CPF1",300454,CPF,,96,8,Jan-16,2016," 197,000 ",Equipment,30-Jun-18,2018," 197,000 "
136,Chest Freezer AB900 T x dimensi : 193x82x88cm - CPF1,300455,CPF,,96,8,Dec-15,2015," 8,876,560 ",Equipment,30-Jun-18,2018," 8,876,560 "
137,AC 1 PK Panasonic Type Standard - CPF1,300457,CPF,,96,8,Feb-16,2016," 3,500,000 ",Equipment,30-Jun-18,2018," 3,500,000 "
138,SCAFFOLD STEEL 4-LAYER HB4925-4 (212068) - CPF,300458,CPF,,96,8,Jan-16,2016," 8,899,000 ",Equipment,30-Jun-18,2018," 8,899,000 "
139,HIGH PRESSURE CLEANER 100BAR 1300WATT (KW1800723) - CPF,300459,CPF,,96,8,Jan-16,2016," 1,069,000 ",Equipment,30-Jun-18,2018," 1,069,000 "
